latitude,longitude,name
55.6774904,37.6516975,
55.8270766,37.4473841,Пивной клуб Крокодил
55.8986035,37.5912853,Кружка
55.6546648,37.5392117,SПБ
55.1462168,36.8000295,
55.7658104,37.6047126,ГлавПивМаг
55.5469189,38.2488579,Живое пиво
55.6144522,37.7434545,
55.7621915,37.6203592,The White Hart
55.73848,37.659736,5 океан
55.7388274,37.6592047,Золотая Вобла
55.7847828,37.4561101,Старое место
55.8435862,37.3639331,Кружка
55.770398,37.634213,Мохнатый шмель
55.7620534,37.6218381,Sean O'Neill
55.6696224,37.5526533,Бирштольц
55.9628669,37.4048938,Katie O’Connor’s
55.706677,37.7598661,Пятница Паб
55.6122075,37.7212993,Чешска пивница
55.7563485,37.6214692,Лондон Гриль
55.7981189,37.5270463,Сова и топор
55.6314274,37.5188668,Чёрная каракатица
55.747706,37.588259,Ulysses
55.744288,38.0482188,Разливное пиво
55.7564113,37.6352805,Птица-Синица
55.7508203,37.9583115,
55.7616265,37.6405117,Union Jack
55.8146597,37.3648724,За ПивОм
55.7724813,37.6813702,Mистер Beer'kin
55.7614478,37.6407939,Крапива
55.8159627,37.3683525,Old Irish Pub
55.682974,37.8446029,Брудер на Привольной
55.7723701,37.683065,HopHead
55.7452543,37.6307187,Белфаст
55.7706376,37.5965658,Шпатен-Хаус
55.9487711,37.3010994,
55.7486975,37.5885149,Эрик Рыжий
55.6474347,37.6187786,Иоркшир
55.7890011,37.6102076,Локо
55.7577397,37.633734,Left Bank
55.7011359,37.5037997,Джон Мартинс
55.8612975,37.1284538,
55.7711602,37.60531,Брюссель
55.7699906,37.5972045,Pivbar
55.7249981,37.6064153,ШтирБирЛиц
55.808348,37.4944833,Букингем
55.7415954,37.6516261,Hlstk
55.9116052,36.8597964,Белый Лис
55.8031081,37.5127597,Кружка
55.5917088,37.3662609,Начальник Чукотки
55.7413471,37.6527894,The BEST bar
55.6065886,38.0991996,Old Maori
55.7972707,37.5845376,Ampere
55.7652893,37.5614072,ШтирБирЛиц
